ID_REF	Type	TLR4_1	TLR4_2	TLR4_3	TLR4_4	C13orf18_1	C113orf18_2	CDC14B_1	CDC14B_2	DAB2_1	DAB2_2	DAB2_3	DDAH2_1	DDAH2_2	DDAH2_3	EPB41L4B_1	EPB41L4B_2	H2AFJ_1	H2AFJ_2	KIAA0372_1	KIAA0372_2	PHF20_1	PHF20_2	SHANK2_1	SHANK2_2	TMCC1_1	TMCC1_2	TMEPAI_1	TMEPAI_2	TMEPAI_3	TXNDC9_1	TXNDC9_2	ZNF148_1	ZNF148_2	PHACTR2_1	PHACTR2_2	ANP32E_1	ANP32E_2	EIF5A_1	EIF5A_2	RABEP1_1	RABEP1_2	TFAP2A_1	TFAP2A_2	TMF1_1	TMF1_2	WARS_1	WARS_2
GSM335510	MSS	3.687793319	5.058006924	4.736186665	3.310292743	5.928221812	6.395549315	6.709489638	6.560422106	6.431884542	6.352751592	6.794456504	6.415711064	6.325010272	6.426941906	9.655219965	6.787297728	1.826799285	5.791254318	7.468178944	8.214890134	6.805674603	7.948152612	7.142514403	7.048170146	5.574667752	5.820330969	5.589136883	6.633434266	6.095357477	8.641612087	9.022474662	6.820675091	6.144555758	6.884260932	7.549255434	6.343756093	8.827489909	9.021342445	10.14273883	5.866219919	3.505499558	5.190869112	4.649589564	4.997997742	5.18188191	6.691700934	8.505488263
GSM335511	MSI	4.214880808	4.653599076	4.598103474	4.407228406	6.658712785	6.761675182	5.131388855	5.188974073	6.008116778	5.671224243	6.068780145	5.778254809	6.228657996	5.744093023	9.994925313	8.183082987	4.012160905	7.188511171	7.372441913	8.118690185	6.18827309	7.609127777	5.416333984	5.993960777	7.02197185	6.864878038	7.143999426	8.544062673	8.882557181	7.777365647	8.106012605	7.360649529	6.976473039	6.952652231	7.467232015	5.754079476	8.244892962	9.307120799	10.57550877	6.092637527	4.376376073	5.473691482	3.715650762	6.307291331	7.429406142	7.330039004	8.262871852
GSM335512	MSS	3.448504016	4.352747688	3.849759333	3.607535863	8.109826033	8.331611055	5.631640929	5.372840915	6.600403376	6.79059338	7.109614333	6.780711968	6.984486695	6.906987802	8.597649519	6.763784598	5.765340947	8.61740484	7.81481536	8.57240414	6.821869451	8.261403837	5.393540443	5.807066941	6.882904315	7.229089428	8.018843014	9.357762015	10.47637996	8.600726793	8.59853549	7.130759142	7.181840967	6.120542757	7.007176568	7.073949759	9.536633637	10.1769708	11.35922478	7.377490616	4.824169853	7.04669794	1.539529803	5.749295314	6.512132432	7.170134985	8.399569991
GSM335513	MSS	4.030138402	5.912733227	5.176159398	3.581266331	8.661120273	8.873144535	5.166257626	4.9345782	7.244620342	6.988232256	7.477470079	8.046620474	7.911321449	8.186635508	10.70829939	8.590730155	6.250253849	9.277345412	6.995713568	8.166407462	6.583729303	7.752270089	6.434545577	7.033802832	6.476496259	7.194414803	8.999770153	10.54523132	10.69864783	8.47613933	8.56668022	7.696005385	7.118276581	6.952861365	7.359012248	5.24922417	7.938625311	8.171466374	9.516386517	5.754946158	4.048289393	3.559891402	1.939793186	6.258230799	7.004963077	6.934689072	7.689666402
GSM335514	MSS	4.407546917	5.525379752	5.208968427	3.714078264	9.406829813	9.687122376	5.512304064	5.381647682	7.800918071	7.754228002	7.995689874	6.26943858	5.95578988	6.177946263	10.29269684	8.040469602	6.566548811	8.074135137	7.556852266	8.229369156	7.064684018	8.516637764	6.326931708	6.927174665	6.009222225	6.594713243	7.669805057	9.291322595	9.556015824	8.503970452	8.655170172	7.330265202	7.10067878	7.576065152	7.995410582	5.68296305	8.779598143	8.901259805	10.58139868	5.941938439	3.714591841	3.885169441	3.658368414	5.473691482	6.743356213	7.347575964	8.562032373
GSM335515	MSS	2.562394062	3.975989521	3.657255019	2.518128857	9.985702173	10.05024474	6.667442215	6.799232394	6.457629653	6.202647994	6.901777124	7.215683102	7.195910021	7.377977538	9.361360792	7.013473119	5.356470566	9.215413084	7.058449045	7.379456075	7.203258932	8.665574571	4.782255458	6.057037512	6.752364154	6.793410938	4.619991526	6.085887103	6.076460519	8.621171944	8.849542598	7.749311184	7.355987364	7.25289746	8.004452589	6.621668454	9.134586657	7.812070948	9.0057948	5.581085467	4.922448022	6.75597836	1.925116747	5.923374594	5.894520812	7.372192474	9.124114978
GSM335516	MSS	4.506827237	6.087348823	6.321693599	4.409575844	8.94793234	9.343142018	5.284434772	5.109755509	7.283447449	7.443736455	7.849862097	6.144190875	6.306539139	6.286736576	9.929167604	7.955439055	6.198782133	9.848539652	6.568155271	7.229740337	6.948190189	8.206915891	5.205351863	6.749856115	6.301728994	6.85931189	8.380133554	9.387180225	9.706069289	8.575453031	8.790795917	6.699195177	6.633823251	6.988232256	7.437657569	6.734112272	9.050250735	9.282210654	10.76050914	6.608197788	3.794942966	1.056275418	3.795173445	5.996267351	6.513435841	7.54431828	8.402233947
GSM335517	MSS	5.66413191	6.112203332	6.465185722	5.260153703	7.667313938	7.81819723	6.230849743	6.266593548	7.462789675	7.492537173	7.568479962	6.093197865	5.852579933	6.150498175	10.13066522	8.338434786	5.317354937	8.46071608	7.607246091	8.077879726	6.202468785	7.735826955	4.398567597	6.193026889	5.613443566	6.01402822	6.689661729	8.464963418	8.59853549	8.502008217	8.596362688	7.371051141	7.349121494	7.22148177	7.74312365	6.981834363	9.143386821	8.905097204	10.46717875	5.880072972	4.073260699	3.757152744	2.02896073	5.604263262	7.021125372	7.477470079	8.23705921
GSM335518	MSI	3.736816006	4.951482497	5.005347727	3.1163459	5.391079394	6.154727914	4.763268956	5.071027505	6.712425039	6.658899729	7.08915491	6.263660518	6.14306998	6.199864399	8.966891161	6.777252675	4.603080538	8.82540138	6.171254557	7.090407032	6.821466403	8.011319875	4.409103476	5.776154495	5.738634413	5.911815701	5.959793786	7.915390712	7.809667216	7.807225354	7.822982019	6.3337497	6.000220623	6.611070367	7.262326949	7.238548707	9.126645961	10.08107458	11.19171771	6.732918859	3.829514791	7.005753391	2.66003856	6.023635383	6.443392135	8.130566848	9.51804564
GSM335519	MSI	3.542896029	5.10464788	4.516057623	3.416613538	7.827556883	8.313171267	5.137933734	5.116531291	7.042742385	6.932724009	7.532559963	5.764972295	5.530413312	6.042227537	9.673304389	7.400722667	3.431002649	7.104921744	6.161855389	7.25036855	6.342118012	7.45015919	3.836306501	4.645303757	5.888204545	5.944281814	6.149118699	7.371051141	7.741254129	7.616456989	7.596077598	6.723837688	6.133103421	7.088752781	7.862460896	7.157117523	9.322379209	9.621950765	11.1478879	6.90538636	4.094611388	4.815621653	3.956506928	5.773774867	6.715055166	8.141459792	9.111839804
GSM335520	MSS	3.910259396	4.35619125	4.698792686	3.354350882	6.863878038	6.879571586	5.594967234	5.844192559	7.622548656	8.034958887	7.912732842	6.938310907	6.711651799	7.024668058	10.77398764	8.441327479	4.786285577	9.167992483	6.742750825	7.262123374	6.824128005	7.261044307	5.796978909	6.801368311	6.605280284	6.952448565	7.980127124	8.341021827	8.758898275	8.244892962	8.534333696	8.368654355	7.54163805	8.515401913	8.111703388	4.868309576	7.931752241	6.899934018	7.118480623	6.522444597	4.609078411	4.647974176	1.586267721	5.669328148	6.778677785	7.345734117	8.481319966
GSM335521	MSS	4.004796181	5.050686949	5.016167487	3.690795531	9.761284239	9.892268888	5.913973837	5.524861076	7.212357336	6.71913801	7.229980032	5.982640764	6.528248259	6.545634824	10.01085494	7.864845698	4.697820311	8.861216886	6.82550519	7.909550281	6.338979107	7.808038534	5.013069651	6.112203332	6.009388113	6.249889117	6.369699181	8.186635508	7.844819897	8.690172203	8.795825613	7.482741873	6.86349436	7.715869624	8.173411077	6.957586991	9.056040616	7.952827064	9.480374045	6.711850414	4.386702069	5.367657461	4.191956668	5.836190527	6.924781821	7.473992757	8.788441708
GSM335522	MSS	6.249146165	6.976916858	6.17593206	4.926172033	10.48552295	10.37256423	2.687342715	3.81907023	8.634613968	8.341021827	8.357505141	6.790191873	7.06014884	6.736501577	9.526527193	7.52399592	4.939682939	9.717370519	7.416607034	8.081961154	6.540460513	7.768144545	5.490922296	6.369327443	6.255396319	7.047121508	8.314694291	9.041373653	9.255209851	8.61777344	8.864125662	6.862274899	6.711469856	7.387047712	7.550727787	8.190779838	10.14536493	9.304323296	10.1252795	6.702556149	4.446684985	4.11002732	3.279432486	5.589318109	6.512731624	7.733146606	8.470646115
GSM335523	MSS	6.163847723	7.359714748	7.784105925	6.312995528	6.090058984	6.540872158	6.972997855	6.613346886	6.951812893	7.225447968	7.329345835	7.85878951	7.828145605	8.157738723	9.780580121	7.589765806	4.388489103	9.694799593	7.060334863	8.085319365	7.46454822	8.129361555	4.541294779	6.003390814	7.288891382	7.240791146	7.760121408	8.310744152	8.607823549	8.83220024	9.044828829	7.831219121	7.75279174	7.460619001	7.583778461	7.196563311	8.671426183	8.822941974	9.651050461	6.785439661	4.189400972	5.493272592	3.793630133	5.610416556	5.856941514	7.578689107	8.478843286
GSM335524	MSS	4.845724687	5.713317429	5.19777098	4.474466705	10.18519483	10.31824217	6.109616766	6.332617897	6.954558027	7.313346613	7.203448288	6.555444832	6.412367232	6.785439661	9.883624833	7.444473494	5.896695121	9.65360205	7.484881154	8.13589723	7.461843764	8.645454971	4.989582192	5.986310099	6.681316521	6.809091777	8.934444301	10.00617687	10.4160737	8.853632736	8.994720188	7.421090028	7.110263731	7.303193339	8.220038526	6.096996688	8.401886864	9.229277283	10.53353142	5.28052551	4.454307211	6.153795433	4.431711371	4.995334383	6.299462493	8.556161739	9.857967533
GSM335525	MSI	4.595456772	6.076828637	5.476763604	3.573197632	7.070539432	7.133360878	5.694215775	5.551513432	6.479110851	5.884892062	6.867940827	5.848640041	5.848276877	5.548730234	9.214077154	6.844872776	2.617308262	5.486385509	6.945100451	7.508646632	6.606268806	7.91074801	4.63466743	5.617444509	6.332066594	6.650431475	6.607247791	7.767358656	7.745443012	6.822067829	7.187044751	5.879902581	6.14306998	6.135890431	6.837149617	7.111698202	9.207576888	9.928009637	11.14205159	6.941564951	4.034484739	7.211247544	4.573101075	6.017119981	6.820282922	8.356161735	9.53301743
GSM335526	MSS	4.995150775	6.131044534	5.8280718	4.486886375	9.467451184	10.15750235	6.019063498	6.00075653	9.261207485	8.990415117	9.435555695	7.230874737	7.156077407	7.428458851	10.42472823	8.217716231	2.211514126	6.109440163	6.849700346	7.991734227	6.506097536	7.333521756	5.031117138	6.887000354	6.030697565	6.622783412	6.676479878	8.2280417	7.932609695	8.817146463	8.921600643	7.142950093	6.83207289	6.864481778	7.367530538	6.243208953	8.158036203	7.394231103	8.130892159	6.718160169	4.499853631	3.201769335	2.45730633	6.387872079	6.17680397	7.762281323	8.774840126
GSM335527	MSI	4.174982417	5.065025645	5.95138861	3.973007132	5.882728213	6.269970157	4.606301817	5.041012835	7.099604308	7.19099152	7.549255434	6.18656257	6.282059376	6.304106068	9.763251965	7.470790321	5.384470087	8.706409057	6.952448565	7.756012371	5.862597378	7.131808482	6.224811121	5.996075877	6.273410803	5.876564333	7.32459539	8.132373407	8.340646639	7.969170087	7.839620341	7.074158351	7.30544922	6.805674603	7.617422756	7.480504168	9.485249644	9.550979873	10.74115502	6.830799222	4.057604692	6.339180739	4.885101934	6.040762331	6.588307577	7.7702036	8.918057693
GSM335528	MSS	5.120257164	6.571129647	6.1131164	3.678432395	8.421640075	8.507396726	5.687100765	5.175820293	8.374500079	8.351050124	8.807877959	6.448848044	6.799783673	6.725612516	10.52836272	8.373003566	4.954977852	9.313623496	7.217931919	7.601839738	6.440153649	7.353116325	6.090629956	6.642004051	6.231207947	6.342827511	6.972361923	7.601351458	7.822139754	7.788279527	8.028597759	6.869925996	6.805872151	7.274151699	7.981279862	5.600463255	8.489671652	7.63791573	8.440192159	5.966426315	3.776194164	5.350346091	4.803352938	6.11600467	6.118698751	7.611222515	8.607823549
GSM335529	MSI	5.600954808	6.897163122	7.309220657	5.792453949	7.631179752	8.272586241	5.571284477	5.142987072	7.015184568	7.243480614	7.693439908	5.996953458	5.762555887	6.030134445	9.853741282	7.982846455	3.034312862	8.229850084	6.937880746	7.801989677	6.388822712	7.894365925	5.866946658	6.009755057	6.52226409	6.674536483	7.119122832	8.535501341	9.05373102	7.817061645	8.053696773	6.629318533	6.727323018	6.321507602	7.428716016	7.098582888	8.684010367	8.890232623	10.11764716	6.692117637	4.1683939	5.002806486	3.542774673	5.861368756	6.823906204	8.110139943	8.910127345
GSM335530	MSI	4.327291064	5.074659828	4.677090339	3.519000045	8.187326885	8.418330713	5.788970462	5.166574049	6.338979107	6.395140451	6.738863575	6.186155111	5.822819756	5.91018527	9.464351528	7.274813114	3.690154837	6.907954716	6.003944948	6.834995334	6.05722738	7.345014702	4.260918134	4.548679366	6.341383798	6.258799519	6.172889724	7.286845227	6.923807789	7.259592887	7.546083075	6.707677293	6.290710999	6.388822712	7.134944862	6.87644242	8.654290471	9.523186459	10.84371275	6.579457826	4.483404944	6.5347324	4.578435272	6.519983932	6.384324498	7.847398321	9.767860823
GSM335531	MSS	4.044841881	5.160827628	5.071179147	3.687185777	9.842188592	10.07228454	5.891202651	5.975044667	7.529929748	7.35117041	7.798165206	6.255240264	6.604490894	6.604869955	10.55689142	8.016117467	5.006130146	9.072108327	7.639156606	8.199801706	7.224307477	8.554484921	5.297078633	6.284779665	6.230290949	6.513105892	8.662507258	9.610607107	9.693810022	8.525486392	8.609110678	7.377490616	7.042346877	7.029616731	7.408656752	6.05259012	8.695402038	7.509846449	8.094811881	5.56805943	4.279981754	2.950298241	3.359305879	5.402743884	6.487635271	8.019441535	9.340906295
GSM335532	MSI	5.076742829	5.997892178	5.343013873	4.589146589	6.13773678	6.238230805	5.852383181	5.785592055	6.607613274	6.245213801	6.939375509	5.790135708	6.092278172	5.957037331	8.806065671	6.632245043	3.712516679	7.069008905	6.237842589	7.046276353	6.231986888	7.398706732	3.059135626	3.931048258	5.396508581	5.918340791	5.112445596	6.290896369	6.801835881	7.738623813	7.621052831	6.303715797	6.116746648	6.193763174	7.462299859	8.182158482	9.627958233	9.913386081	11.35922478	7.035717378	3.875145608	5.697643601	3.486165061	5.738107221	6.928849171	7.832430815	8.909575885
GSM335533	MSS	5.298492486	6.559471755	6.510890396	5.301470275	8.747100851	9.409887034	5.492907192	5.561452528	7.433413569	7.183146279	7.866376977	7.845661348	7.623243913	7.941837638	9.277953977	7.54063729	5.013231784	9.251922453	7.095112671	8.316006498	6.990343222	8.430021458	4.301085862	6.547609232	5.820692063	6.490928649	6.612989052	7.997847001	8.075433784	8.830626451	8.938208242	7.15864437	7.18120759	7.045476108	7.655102303	7.501328733	8.623786424	8.663850289	10.13333652	6.05240238	3.944970171	3.372119078	3.448848502	5.335364817	6.073512222	7.611764456	9.063621983
GSM335534	MSS	0.297678855	5.004428245	3.82076513	3.212883753	9.670815508	9.991650301	5.519661287	5.813822775	8.181830773	8.595140621	8.66159962	8.054960486	7.978358789	8.232974646	9.303688001	6.901387386	5.313368002	8.711547896	6.86349436	7.929986578	7.188332833	8.373691584	5.818022481	6.636863573	6.411380148	6.590317744	7.503157187	8.640654718	8.595978468	8.351050124	8.715374767	7.454864308	6.810544179	7.623729311	8.331941239	5.526651613	7.555909524	9.205041511	10.60975735	6.920353326	5.093467876	0.437128631	4.442360657	5.248331382	6.216398734	7.042742385	8.256889543
