Station,Elevation,UTM_x,UTM_y,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
ARCHERS POST,1107,351624.2825,70807.01226,286.7999991,349.4000021,276.4000032,188.8000005,169.75,150.6999994,403.7000015,333.9500013,264.2000011,225.5999993,353.75,481.9000008,195.7999991,222.7000033,272.4000022,319.2000009,303.6000002,391.8000015,390.7999986,578.7000011,259.2000013,282.9000003,238.9000017,338.6999974,346.3999979,179.3000005,824.1999965,441.3999951,275.0000031
ARDENCAPLE FARM,2504,306006.8278,9696.367758,585.799994,615.4000021,453.0000024,501.9,738.9000003,586.3999982,907.500002,704.0999999,523.6000005,294.3999991,851.6000009,772.4000006,638.8000002,285.4999965,492.0999972,888.7000011,524.5000018,897.2000041,578.5000006,712.8000053,503.0000017,581.7999965,474.6000025,841.2999992,697.8000019,565.7999987,1160.299999,767.1999963,400.3999986
EL KARAMA,1972,266605.4076,21860.41486,798.3999989,591.4999976,539.5999996,512.5000022,839.9000071,637.6000011,941.200003,776.100005,785.4000026,445.100003,960.1000034,653.3000044,728.6999977,409.7999986,676.6999931,882.4999976,509.4999993,703.0000008,640.6999953,959.1999996,678.9999946,519.6999938,576.3,627.5000019,796.9999974,617.8500016,1191.75,821.875,452
EMBORI FARM,2922,316071.1419,7766.903296,623.3000036,607.200004,615.4000054,661.8000007,650.199998,513.3999993,903.9000022,800.3000033,718.1000024,379.1000026,679.2999998,672.7999982,698.8000006,412.9999992,632.8000016,857.3999945,491.1000013,1055.899999,654.9999982,636.8999969,495.6999993,580.6000019,465.9000008,854.3000013,681.6999996,630.5999992,1054.299999,970.5000024,574.5299972
ENASOIT FARM,2144,285614.1558,26288.02208,622.2999983,588.8000054,466.2000031,511.9000033,746.1000001,486.1000047,903.2000051,850.2,567.9000025,247.900001,575.5,677,723.5,187,555.5999999,886.2000008,446.5999956,901.5,559,489,352.5,424.5,446.5,644,537.5,396,941.5,655.5,414
GATHIURU FOREST STN,2524,290496.9784,9989256.094,1100.200001,743.6999992,767.9499988,792.1999983,891.8999998,880.9000033,900.5500035,920.2000036,765.0500018,609.9,1084.399999,881.5999996,914.6999997,516.9999976,826.1000029,855.0000002,870.1000007,1083.400002,1139.400003,975.2000015,958.0000003,940.7999991,906.8000026,952.5000002,1118.699996,750.8000002,1292.500002,1102.3,724.5999987
ISIOLO DAO,1369,342591.8084,39500.94954,,,475.3999982,497.8000029,477.5999964,652.400005,615.4999948,806.6000006,726.3999996,528.1000069,466.500001,762.7000035,555.3999979,535.200003,580.9999965,693.8999983,637.9000031,716.8999965,896.5000033,1177.199998,668.0999994,817.2999999,904.9999935,946.0999947,659.6000006,512.8000026,1142.800001,856.8000031,488.0999993
JACOBSON FARM,2173,282214.5145,9995527.142,718.700004,589.200009,514.1,701.200003,781.1000066,742.9000003,860.200005,730.4999995,811.4000106,474.2000028,768.4000017,587.3999996,803.9999945,483.0999961,692.0999901,803.1999955,710.2999945,825.8999925,912.3999922,860.6999893,609.2999966,604.0999949,693.5,858.5000001,967,696.7219988,1165.605995,768.8579996,615.1879975
KAMWAKI FARM,2290,295459.1225,15008.10236,757.2000048,538.6999986,394.6000006,390.6000004,574.5999942,482.4000034,876.6000018,623.8000059,493.7000005,192.9999969,734.6999989,584.8999987,685.0999904,167.1999989,643.0999926,961.8999913,403.0999944,615.9999902,489.8999929,677.399991,340.3999968,475.1999946,431.2999926,605.6999912,728.6999869,514.3500018,1018.031993,697.991997,377.9520011
LAMURIA MET STN,2131,263186.0693,9986005.94,654.5000037,696.7000007,654.1000027,633.300001,735.4000033,765.0999991,794.7999949,878.2999996,794.1999994,536.8999991,753.999998,788.2000016,608.2999965,500.300001,810.6999953,734.5999997,710.1999989,976.699998,920.0999994,818.4999994,710.8999987,629.8000035,609.3999968,774.6000012,786.2000005,826.4999991,1058.100002,,
LOLDOTO FARM,2024,279438.733,19340.93875,973.6000083,753.9000048,555.8000009,663.7000049,649.4000045,594.5000041,842.4999966,591.5000066,607.5000055,335.1000031,760.0000036,682.5000011,745.6999917,280.8,599.8000044,866.8999965,419.4999967,598.9999953,632.399996,706.8000036,506.0999968,423.0999969,572.99999,724.4999944,525.9999948,519,1020,935.6960022,546.3540047
LOLMARIK FARM,2550,307781.7926,11497.23706,557.000001,583.8000064,405.8000026,452.300003,627.3000028,395.4000013,770.8000056,547.2000053,600.1000006,294.400001,818.5000024,687.0999982,611.6999907,239.6999958,474.2999924,732.599988,476.6999919,773.4999947,525,509,341,510,506,639.5,435.5,493,1124.1,602,223
LORUKU FARM,2250,286629.4629,9998806.799,613.5000048,645.1000065,581.900003,817.7000016,776.2000063,832.5000059,787.9000019,923.5,635.25,347,1006.5,714.5,861.5,455,750.5,926,638.8,945.1000004,942.2500004,939.4000003,601.8,811,632.5,846.6999998,973.5999999,884.5,1363.25,1044.1,604.3999999
MPALA FARM,1920,266641.2286,36040.93455,553.5000005,661.5999987,445.4000022,376.5000019,790.2999978,360.5000026,838.7000067,781.2000055,535.0999994,352.6000013,619.4000006,464.200001,473.6999915,188.1999991,435.3999975,721.0999889,335.0999935,723.8999877,554.0999918,641.3999879,205.7999971,381.199996,359.5999949,503.8999949,484.0999951,124.4599977,1206.499996,695.9599962,951.229996
MUGIE RANCH,2132,231969.4108,78649.87705,675.3999906,509.0999954,466.2999974,682.7999915,785.2999946,516.0999938,870.2999943,906.5999902,626.6999967,432.7999916,547.6999954,523.6999996,623.0999944,205.9999983,417.499999,734.3000001,433.999999,725.9999982,809.9999979,862.6999951,402.2999942,619.9999972,439.8999979,619.3999968,536.4999967,687.5780007,943.8640047,813.5619957,516.1280013
