DATE,DP>0.1,DP>0.5,DP>1.0,TPCP (hundredths of inch)
195401,2,0,0,78
195402,1,1,0,75
195403,3,0,0,101
195404,0,0,0,0
195405,3,0,0,47
195406,2,1,1,146
195407,5,1,0,203
195408,5,1,0,200
195409,3,3,2,305
195410,0,0,0,2
195411,0,0,0,0
195412,0,0,0,6
195501,8,1,0,189
195502,1,0,0,19
195503,0,0,0,3
195504,0,0,0,0
195505,0,0,0,3
195506,0,0,0,3
195507,6,2,2,510
195508,6,5,5,793
195509,0,0,0,5
195510,1,0,0,32
195511,0,0,0,0
195512,1,0,0,33
195601,3,0,0,108
195602,3,0,0,54
195603,0,0,0,0
195604,1,0,0,31
195605,0,0,0,0
195606,1,0,0,36
195607,6,1,1,277
195608,3,1,0,112
195609,1,0,0,37
195610,1,0,0,27
195611,0,0,0,0
195612,1,0,0,22
195701,8,1,0,237
195702,0,0,0,36
195703,3,0,0,93
195704,1,0,0,16
195705,2,0,0,33
195706,0,0,0,17
195707,4,0,0,125
195708,6,3,1,392
195709,0,0,0,0
195710,5,1,0,262
195711,2,0,0,56
195712,3,0,0,89
195801,0,0,0,0
195802,2,1,0,115
195803,5,1,0,182
195804,1,0,0,48
195805,0,0,0,2
195806,2,0,0,51
195807,4,2,1,520
195808,4,0,0,91
195809,1,0,0,21
195810,2,1,0,121
195811,2,1,0,109
195812,0,0,0,0
195901,0,0,0,3
195902,1,0,0,28
195903,0,0,0,0
195904,0,0,0,1
195905,0,0,0,0
195906,0,0,0,0
195907,8,3,1,392
195908,9,0,0,279
195909,0,0,0,0
195910,2,1,0,70
195911,2,0,0,29
195912,6,1,0,197
196001,4,1,1,201
196002,1,0,0,42
196003,2,0,0,25
196004,0,0,0,0
196005,0,0,0,8
196006,1,0,0,25
196007,4,0,0,73
196008,4,2,0,209
196009,3,1,0,120
196010,1,1,0,71
196011,0,0,0,7
196012,2,1,0,93
196101,2,1,0,95
196102,0,0,0,1
196103,1,0,0,41
196104,0,0,0,0
196105,0,0,0,0
196106,1,0,0,26
196107,4,2,0,181
196108,8,1,1,428
196109,1,0,0,51
196110,2,0,0,65
196111,2,0,0,44
196112,4,2,0,157
196201,5,0,0,139
196202,1,0,0,33
196203,1,0,0,25
196204,0,0,0,0
196205,0,0,0,0
196206,1,0,0,25
196207,5,0,0,138
196208,2,0,0,48
196209,3,1,1,286
196210,1,0,0,22
196211,3,0,0,49
196212,3,0,0,93
196301,2,0,0,59
196302,2,1,0,81
196303,1,0,0,34
196304,1,0,0,32
196305,0,0,0,0
196306,0,0,0,0
196307,6,0,0,166
196308,7,2,0,286
196309,3,1,0,145
196310,2,0,0,60
196311,2,2,0,126
196312,0,0,0,8
196401,0,0,0,14
196402,1,0,0,13
196403,3,0,0,81
196404,1,1,0,67
196405,0,0,0,0
196406,0,0,0,1
196407,6,4,3,482
196408,7,2,1,390
196409,8,2,1,511
196410,2,1,0,91
196411,2,0,0,68
196412,2,1,0,81
196501,1,0,0,45
196502,3,0,0,64
196503,2,0,0,27
196504,1,0,0,23
196505,0,0,0,0
196506,0,0,0,1
196507,5,1,0,213
196508,6,0,0,112
196509,3,0,0,82
196510,0,0,0,7
196511,4,0,0,77
196512,11,4,0,502
196601,5,0,0,174
196602,5,1,1,225
196603,1,0,0,19
196604,1,0,0,12
196605,0,0,0,11
196606,0,0,0,2
196607,4,3,1,257
196608,6,2,1,331
196609,5,2,2,353
196610,1,0,0,32
196611,0,0,0,6
196612,1,0,0,19
196701,0,0,0,4
196702,0,0,0,13
196703,1,0,0,41
196704,1,0,0,29
196705,1,1,0,62
196706,2,0,0,42
196707,7,3,0,272
196708,5,2,0,200
196709,4,0,0,135
196710,2,1,0,103
196711,3,0,0,48
196712,6,2,2,344
196801,0,0,0,18
196802,5,0,0,99
196803,4,1,0,179
196804,3,0,0,62
196805,0,0,0,0
196806,0,0,0,0
196807,7,1,0,197
196808,5,0,0,112
196809,0,0,0,0
196810,0,0,0,9
196811,2,1,1,186
196812,1,0,0,32
196901,2,1,0,74
196902,2,0,0,50
196903,1,0,0,34
196904,2,0,0,60
196905,1,0,0,46
196906,0,0,0,0
196907,5,1,0,151
196908,4,3,0,257
196909,2,2,0,131
196910,0,0,0,3
196911,4,0,0,106
196912,2,1,0,82
197001,0,0,0,0
197002,1,0,0,34
197003,4,0,0,113
197004,1,0,0,45
197005,0,0,0,3
197006,1,0,0,33
197007,2,2,1,253
197008,4,1,0,143
197009,5,2,1,358
197010,1,1,1,173
197011,0,0,0,0
197012,2,0,0,43
197101,0,0,0,4
197102,3,0,0,50
197103,0,0,0,0
197104,1,1,0,56
197105,0,0,0,1
197106,0,0,0,0
197107,6,1,0,218
197108,7,2,1,329
197109,5,1,0,175
197110,1,1,0,118
197111,2,1,0,69
197112,4,2,0,197
197201,0,0,0,0
197202,0,0,0,0
197203,0,0,0,1
197204,0,0,0,0
197205,1,0,0,24
197206,2,0,0,68
197207,5,3,1,349
197208,6,1,0,293
197209,3,1,0,109
197210,5,4,2,451
197211,3,1,0,130
197212,3,0,0,61
197301,0,0,0,6
197302,4,1,0,160
197303,9,2,0,220
197304,0,0,0,2
197305,0,0,0,9
197306,1,0,0,50
197307,5,0,0,174
197308,1,0,0,54
197309,0,0,0,0
197310,0,0,0,0
197311,2,0,0,47
197312,0,0,0,0
197401,2,1,0,93
197402,0,0,0,0
197403,2,0,0,55
197404,0,0,0,0
197405,0,0,0,0
197406,0,0,0,1
197407,7,4,1,444
197408,4,0,0,104
197409,6,0,0,169
197410,6,1,0,212
197411,1,1,0,81
197412,1,0,0,33
197501,2,0,0,36
197502,0,0,0,13
197503,3,0,0,95
197504,1,0,0,27
197505,1,0,0,11
197506,0,0,0,0
197507,6,1,1,238
197508,2,0,0,32
197509,3,1,0,126
197510,0,0,0,0
197511,1,0,0,34
197512,2,0,0,52
197601,0,0,0,6
197602,3,0,0,53
197603,1,0,0,38
197604,3,0,0,57
197605,0,0,0,23
197606,1,0,0,10
197607,5,0,0,118
197608,0,0,0,23
197609,3,1,1,168
197610,2,0,0,37
197611,3,0,0,48
197612,1,0,0,47
197701,4,1,0,183
197702,0,0,0,4
197703,2,0,0,74
197704,1,0,0,43
197705,0,0,0,8
197706,0,0,0,6
197707,2,0,0,76
197708,2,0,0,80
197709,3,1,0,141
197710,3,2,1,236
197711,2,0,0,33
197712,4,1,0,133
197801,5,2,0,205
197802,6,0,0,175
197803,3,0,0,89
197804,0,0,0,1
197805,2,0,0,61
197806,2,0,0,22
197807,3,0,0,78
197808,5,1,0,159
197809,3,1,1,166
197810,2,1,1,186
197811,5,1,0,158
197812,7,2,1,273
197901,7,2,0,294
197902,2,0,0,42
197903,3,0,0,64
197904,0,0,0,4
197905,2,0,0,67
197906,2,0,0,53
197907,4,2,1,204
197908,6,2,1,260
197909,0,0,0,2
197910,1,0,0,33
197911,0,0,0,1
197912,0,0,0,15
198001,3,0,0,73
198002,5,2,0,290
198003,5,1,0,122
198004,0,0,0,8
198005,0,0,0,0
198006,1,0,0,23
198007,5,1,0,178
198008,4,2,0,195
198009,5,2,1,293
198010,1,0,0,22
198011,0,0,0,0
198012,1,0,0,19
198101,3,1,0,129
198102,1,1,0,71
198103,5,2,0,198
198104,2,0,0,56
198105,1,0,0,26
198106,1,0,0,16
198107,9,6,2,617
198108,2,1,0,80
198109,4,1,0,110
198110,0,0,0,6
198111,1,1,0,61
198112,0,0,0,0
198201,4,0,0,156
198202,0,0,0,6
198203,2,1,0,126
198204,0,0,0,5
198205,3,0,0,51
198206,1,0,0,13
198207,4,1,0,213
198208,6,2,1,251
198209,3,3,2,269
198210,0,0,0,0
198211,3,1,0,130
198212,6,1,0,159
