Day,FNC,TFRatio,WVC_FNC,N0,Rainfall,AbsHum,Soil,AirT,AirP,RelHum
734685.5,2979.1417,0.4234,3073.1347,3835.465141,0,0.0058,0.0174,34.1972,897.1549,15.4774
734686.5,3021.4625,0.4276,3132.0935,3908.006092,1.4667,0.0068,0.0173,34.3997,897.7816,18.4058
734687.5,2976.9167,0.4422,3180.1433,3972.626043,0,0.0127,0.0178,30.5003,900.1253,40.9336
734688.5,2900.4167,0.4431,3135,3921.062193,0.4333,0.015,0.0182,26.6878,901.5819,59.6931
734689.5,2923.5833,0.4506,3153.1864,3947.101785,0.2222,0.0146,0.0185,26.099,902.2983,59.7169
734690.5,2960.375,0.44,3175.1342,3976.982414,0.0222,0.0135,0.0187,29.6205,902.1701,46.6653
734691.5,2868.5417,0.4661,3067.4825,3886.587976,18.9222,0.0127,0.0229,29.2472,901.0503,43.2973
734692.5,2539.7917,0.5287,2685.0898,3560.970703,0.1889,0.0107,0.0407,30.2372,898.8771,35.1069
734693.5,2592,0.5097,2754.7005,3644.521346,1.1111,0.0116,0.0397,28.108,899.8153,43.1319
734694.5,2627.1667,0.502,2842.0974,3751.332619,0.1889,0.0151,0.0387,26.6549,900.9865,60.0739
734695.5,2627.5,0.4938,2818.8563,3713.001697,0,0.0135,0.0379,26.7031,902.2882,53.6797
734696.5,2731.2917,0.4761,2910.6943,3841.22148,0,0.0123,0.0387,29.0247,900.9212,42.3205
734697.5,2898.875,0.4577,2980.2802,3931.829199,0,0.0052,0.0385,28.8389,900.3917,18.2971
734698.5,2920.5,0.4522,2995.3883,3937.621548,0.09,0.0047,0.0371,28.166,899.4792,17.1364
734699.5,2972.4167,0.4399,3053.26,4000.630718,0,0.0051,0.0358,28.9896,898.0097,18.1636
734700.5,2991.25,0.4428,3087.3006,4030.06391,0,0.0059,0.0342,31.8184,897.2802,18.2179
734701.5,2897.125,0.4483,3040.815,3949.574951,0,0.0092,0.0323,31.0247,899.9878,29.8256
734702.5,2735.2917,0.4823,2941.9462,3815.387764,7.02,0.0139,0.0317,27.7906,902.4785,51.596
734703.5,2621.1667,0.5058,2820.572,3682.613996,0.02,0.0141,0.0343,28.9028,902.6927,50.0545
734704.5,2649.0833,0.5084,2857.6389,3742.742638,7.29,0.0146,0.0356,28.3753,901.9941,52.2645
734705.5,2511.2917,0.5321,2685.1898,3552.710338,0,0.0129,0.0397,29.2688,900.1736,44.9603
734706.5,2576.1667,0.5115,2744.776,3637.542665,0,0.0122,0.0404,28.4688,900.4872,43.6449
734707.5,2501.9167,0.5255,2698.2838,3581.731625,8.11,0.0146,0.0411,25.8924,903.9451,60.4647
734708.5,2227.875,0.5832,2425.5577,3474.693179,8.31,0.0165,0.077,26.2083,905.6997,67.7434
734709.5,2302.5833,0.548,2500.7638,3571.381248,0.11,0.016,0.0754,27.1688,903.2073,61.7624
734710.5,2427.6667,0.5258,2590.9127,3661.790964,0,0.0126,0.07,30.0392,900.4979,42.5828
734711.5,2523.9583,0.505,2666.4837,3736.810551,0.0583,0.0105,0.0658,30.4372,900.4781,33.9992
734712.5,2552.4167,0.5022,2697.9354,3746.082101,0.6,0.0106,0.0613,30.3903,900.9729,34.6313
734713.5,2565.2917,0.4946,2760.9527,3806.472453,0.0167,0.0142,0.0579,30.0816,901.6163,47.6101
734714.5,2605.0417,0.4906,2796.5924,3833.487259,0.425,0.0136,0.0552,29.3632,902.0615,46.884
734715.5,2620.5417,0.4853,2840.8249,3869.565255,0.4833,0.0156,0.0523,28.2601,903.6035,56.6376
734716.5,2695.625,0.4705,2891.6961,3922.976961,0,0.0135,0.0505,30.4965,903.4875,44.1791
734717.5,2727.9583,0.4677,2916.5299,3924.343684,0.3833,0.0129,0.0469,32.449,901.2372,37.4272
734718.5,2620.3333,0.5035,2802.3152,3759.398427,4.5083,0.013,0.0456,30.3792,901.125,42.5577
734719.5,2654.375,0.4807,2835.7218,3816.713002,0,0.0127,0.047,31.4743,901.3708,38.5295
734720.5,2722.2083,0.4732,2916.7021,3921.426304,0,0.0133,0.0465,29.9701,901.9587,43.7692
734721.5,2702.3333,0.4727,2889.9366,3865.745433,0,0.0129,0.0443,29.9306,902.726,42.7788
734722.5,2625.9583,0.4882,2828.3769,3780.094635,3.8167,0.0143,0.044,27.2628,902.9111,55.0119
734723.5,2589.375,0.5048,2796.9691,3733.994512,0,0.0149,0.0435,29.075,901.7375,52.744
734724.5,2670.875,0.4879,2864.7531,3825.754739,0.325,0.0135,0.0436,28.1951,901.0622,49.2075
734725.5,2517.375,0.5146,2721.9035,3638.110676,12.3333,0.0151,0.044,25.4326,901.7566,64.6106
734726.5,2376.1667,0.5415,2588.1734,3494.522607,0,0.0165,0.0484,27.2517,900.6646,64.2718
734727.5,2474.375,0.5135,2689.8605,3630.042232,0,0.0161,0.0482,28.25,899.4958,59.7207
734728.5,2534.9583,0.5024,2778.8651,3749.204437,0,0.0178,0.0481,30.7083,898.9083,59.8948
734729.5,2636.7917,0.4832,2855.0562,3833.104858,0.0083,0.0153,0.0459,31.5833,898.2083,49.149
734730.5,2625.3333,0.4852,2825.6939,3777.076753,0.0833,0.0141,0.044,29.6667,897.9583,48.3083
734731.5,2629.2083,0.4857,2876.6921,3832.632521,0.0167,0.0174,0.0426,30.2917,899.125,57.9338
734732.5,2689.2083,0.4676,2919.6493,3881.873359,0.0583,0.0159,0.0418,31.8333,900.2667,51.2297
734733.5,2668.0833,0.4885,2915.3343,3866.625124,5.6333,0.0172,0.0407,29.8333,900.4,60.0508
734734.5,2565.5417,0.5173,2800.7694,3725.017831,0,0.017,0.0419,27.9111,901.0861,63.5558
734735.5,2619.0417,0.4967,2820.8501,3766.93483,0,0.0143,0.0436,29.2212,901.6583,49.2499
734736.5,2699.0417,0.4798,2918.3078,3896.612118,0,0.0151,0.0436,30.2878,902.3326,49.3935
