Country Code,Indicator Code,Year 2010
ARB,AG.AGR.TRAC.NO,NA
ARB,AG.CON.FERT.PT.ZS,21.88122212
ARB,AG.CON.FERT.ZS,56.81183419
ARB,AG.LND.AGRI.K2,5459340.6
ARB,AG.LND.AGRI.ZS,40.07914164
ARB,AG.LND.ARBL.HA,NA
ARB,AG.LND.ARBL.HA.PC,0.163347743
ARB,AG.LND.ARBL.ZS,4.17006004
ARB,AG.LND.CREL.HA,27937527
ARB,AG.LND.CROP.ZS,0.582870362
ARB,AG.LND.FRST.K2,882742.5
ARB,AG.LND.FRST.ZS,6.480555855
ARB,AG.LND.IRIG.AG.ZS,NA
ARB,AG.LND.PRCP.MM,NA
ARB,AG.LND.TOTL.K2,13621401
ARB,AG.LND.TRAC.ZS,NA
ARB,AG.PRD.CROP.XD,NA
ARB,AG.PRD.FOOD.XD,NA
ARB,AG.PRD.LVSK.XD,NA
ARB,AG.SRF.TOTL.K2,13779281
ARB,AG.YLD.CREL.KG,1746.529023
ARB,EA.PRD.AGRI.KD,NA
ARB,NV.AGR.TOTL.ZS,5.974395594
ARB,SH.H2O.SAFE.RU.ZS,71.09987929
ARB,SI.POV.RUGP,NA
ARB,SI.POV.RUHC,NA
ARB,SL.AGR.EMPL.ZS,NA
ARB,SP.RUR.TOTL,151172740.2
ARB,SP.RUR.TOTL.ZG,1.423713512
ARB,SP.RUR.TOTL.ZS,43.47329291
ARB,TM.VAL.AGRI.ZS.UN,NA
ARB,TX.VAL.AGRI.ZS.UN,NA
CSS,AG.AGR.TRAC.NO,NA
CSS,AG.CON.FERT.PT.ZS,34.96396037
CSS,AG.CON.FERT.ZS,158.2137405
CSS,AG.LND.AGRI.K2,25167
CSS,AG.LND.AGRI.ZS,6.216376436
CSS,AG.LND.ARBL.HA,NA
CSS,AG.LND.ARBL.HA.PC,0.107443226
CSS,AG.LND.ARBL.ZS,1.829072496
CSS,AG.LND.CREL.HA,225463
CSS,AG.LND.CROP.ZS,0.56341855
CSS,AG.LND.FRST.K2,325990.1
CSS,AG.LND.FRST.ZS,80.52120538
CSS,AG.LND.IRIG.AG.ZS,NA
CSS,AG.LND.PRCP.MM,NA
CSS,AG.LND.TOTL.K2,404850
CSS,AG.LND.TRAC.ZS,NA
CSS,AG.PRD.CROP.XD,NA
CSS,AG.PRD.FOOD.XD,NA
CSS,AG.PRD.LVSK.XD,NA
CSS,AG.SRF.TOTL.K2,434990
CSS,AG.YLD.CREL.KG,3936.393904
CSS,EA.PRD.AGRI.KD,3516.835453
CSS,NV.AGR.TOTL.ZS,3.739065016
CSS,SH.H2O.SAFE.RU.ZS,91.4254061
CSS,SI.POV.RUGP,NA
CSS,SI.POV.RUHC,NA
CSS,SL.AGR.EMPL.ZS,NA
CSS,SP.RUR.TOTL,3940569.451
CSS,SP.RUR.TOTL.ZG,0.402629992
CSS,SP.RUR.TOTL.ZS,57.17589364
CSS,TM.VAL.AGRI.ZS.UN,1.029971834
CSS,TX.VAL.AGRI.ZS.UN,0.335478181
EAS,AG.AGR.TRAC.NO,NA
EAS,AG.CON.FERT.PT.ZS,263.3699643
EAS,AG.CON.FERT.ZS,321.96535
EAS,AG.LND.AGRI.K2,11808913.4
EAS,AG.LND.AGRI.ZS,48.61731951
EAS,AG.LND.ARBL.HA,NA
EAS,AG.LND.ARBL.HA.PC,0.107239275
EAS,AG.LND.ARBL.ZS,9.594291312
EAS,AG.LND.CREL.HA,174407090
EAS,AG.LND.CROP.ZS,2.376366462
EAS,AG.LND.FRST.K2,6600301.1
EAS,AG.LND.FRST.ZS,27.17345251
EAS,AG.LND.IRIG.AG.ZS,NA
EAS,AG.LND.PRCP.MM,NA
EAS,AG.LND.TOTL.K2,24322849.7
EAS,AG.LND.TRAC.ZS,NA
EAS,AG.PRD.CROP.XD,NA
EAS,AG.PRD.FOOD.XD,NA
EAS,AG.PRD.LVSK.XD,NA
EAS,AG.SRF.TOTL.K2,24855517.7
EAS,AG.YLD.CREL.KG,4562.368798
EAS,EA.PRD.AGRI.KD,891.2548521
EAS,NV.AGR.TOTL.ZS,4.287098256
EAS,SH.H2O.SAFE.RU.ZS,84.43600461
EAS,SI.POV.RUGP,NA
EAS,SI.POV.RUHC,NA
EAS,SL.AGR.EMPL.ZS,34.02281561
EAS,SP.RUR.TOTL,1053920308
EAS,SP.RUR.TOTL.ZG,-1.427071465
EAS,SP.RUR.TOTL.ZS,48.33039811
EAS,TM.VAL.AGRI.ZS.UN,1.973179163
EAS,TX.VAL.AGRI.ZS.UN,1.504865224
EAP,AG.AGR.TRAC.NO,NA
EAP,AG.CON.FERT.PT.ZS,277.9594167
