SWC ,X,Y,Z,WI,ER_top,ER_bot,,,,
12.41,251070,4550195,3349.14,0.48,17.9,35.2,,,,
12.37,251070,4550200,3349.68,6.89,17.9,35.2,,,,
12.33,251070,4550205,3349.91,7.59,17.9,35.2,,,,
12.30,251070,4550210,3349.91,10.13,17.9,35.2,,,,
12.27,251070,4550215,3349.91,10.13,17.9,35.2,,,,
12.25,251070,4550220,3349.91,12.49,17.9,35.2,,,,
12.24,251070,4550225,3349.91,10.21,17.9,35.2,,,,
12.23,251070,4550230,3349.91,13.00,17.9,35.2,,,,
12.22,251070,4550235,3349.91,10.75,17.9,35.2,,,,
12.22,251070,4550240,3349.91,11.23,25.4,35.2,,,,
12.23,251070,4550245,3349.91,10.93,25.4,35.2,,,,
12.24,251070,4550250,3349.91,10.99,25.4,35.2,,,,
12.26,251070,4550255,3349.91,11.02,25.4,35.2,,,,
12.28,251070,4550260,3349.91,10.80,25.4,35.2,,,,
12.30,251070,4550265,3349.91,10.85,25.4,35.2,,,,
12.32,251070,4550270,3349.91,10.66,25.4,35.2,,,,
12.35,251070,4550275,3349.91,10.13,25.4,35.2,,,,
12.38,251070,4550280,3349.91,10.20,28.6,35.2,,,,
12.41,251070,4550285,3349.91,10.13,31.7,35.2,,,,
12.44,251070,4550290,3349.91,10.20,31.7,41.1,,,,
12.47,251070,4550295,3349.91,11.30,31.7,44.8,,,,
12.50,251070,4550300,3349.91,11.09,31.7,44.8,,,,
12.52,251070,4550305,3349.91,10.82,31.7,44.8,,,,
12.55,251070,4550310,3349.91,11.56,31.7,44.8,,,,
12.57,251070,4550315,3349.91,12.64,31.7,44.8,,,,
12.59,251070,4550320,3349.91,10.45,31.7,44.8,,,,
12.80,251075,4550155,3348.29,0.59,24.8,48.1,,,,
12.67,251075,4550165,3349.14,4.99,24.8,48.1,,,,
12.59,251075,4550170,3349.14,7.42,22.5,48.1,,,,
12.54,251075,4550175,3349.14,12.77,17.9,48.1,,,,
12.47,251075,4550180,3349.14,12.68,17.9,48.1,,,,
12.41,251075,4550185,3349.14,12.55,17.9,35.2,,,,
12.35,251075,4550190,3349.14,13.28,17.9,35.2,,,,
12.30,251075,4550195,3349.29,9.14,17.9,35.2,,,,
12.25,251075,4550200,3349.91,5.31,17.9,35.2,,,,
12.20,251075,4550205,3349.91,6.74,17.9,35.2,,,,
12.17,251075,4550210,3349.91,10.65,17.9,35.2,,,,
12.13,251075,4550215,3349.91,10.96,17.9,35.2,,,,
12.11,251075,4550220,3349.91,11.45,17.9,35.2,,,,
12.08,251075,4550225,3349.91,11.81,17.9,35.2,,,,
12.08,251075,4550230,3349.91,10.13,17.9,35.2,,,,
12.07,251075,4550235,3349.91,12.68,17.9,35.2,,,,
12.08,251075,4550240,3349.91,10.98,19.1,35.2,,,,
12.08,251075,4550245,3349.91,10.80,25.4,35.2,,,,
12.10,251075,4550250,3349.91,10.94,25.4,35.2,,,,
12.12,251075,4550255,3349.91,10.13,25.4,35.2,,,,
12.15,251075,4550260,3349.91,10.57,25.4,35.2,,,,
12.18,251075,4550265,3349.91,10.36,25.4,35.2,,,,
12.21,251075,4550270,3349.91,10.24,25.4,35.2,,,,
12.25,251075,4550275,3349.91,10.55,25.4,35.2,,,,
12.29,251075,4550280,3349.91,10.48,29.0,35.2,,,,
12.32,251075,4550285,3349.91,10.45,31.7,35.2,,,,
12.36,251075,4550290,3349.91,10.34,31.7,35.2,,,,
12.39,251075,4550295,3349.91,10.64,31.7,44.8,,,,
12.42,251075,4550300,3349.91,10.78,31.7,44.8,,,,
12.45,251075,4550305,3349.91,10.13,31.7,44.8,,,,
12.48,251075,4550310,3349.91,10.13,31.7,44.8,,,,
12.51,251075,4550315,3349.91,11.85,31.7,44.8,,,,
12.53,251075,4550320,3349.91,12.07,31.7,44.8,,,,
12.55,251075,4550325,3349.91,10.75,31.7,39.8,,,,
12.56,251075,4550330,3350.77,4.98,31.7,35.2,,,,
12.58,251075,4550335,3350.77,5.87,31.7,35.2,,,,
12.59,251075,4550340,3350.77,10.31,30.6,35.2,,,,
12.60,251075,4550345,3350.77,10.13,25.4,35.2,,,,
12.61,251075,4550350,3350.77,10.13,25.4,35.2,,,,
12.94,251080,4550140,3348.29,10.22,24.8,48.1,,,,
12.87,251080,4550145,3348.29,10.49,24.8,48.1,,,,
12.80,251080,4550150,3348.29,10.84,24.8,48.1,,,,
12.73,251080,4550155,3348.29,12.02,24.8,48.1,,,,
12.66,251080,4550160,3348.29,13.78,24.8,48.1,,,,
12.59,251080,4550165,3348.29,13.03,24.8,48.1,,,,
12.51,251080,4550170,3349.14,4.99,17.9,48.1,,,,
12.45,251080,4550175,3349.14,6.13,17.9,48.1,,,,
12.37,251080,4550180,3349.14,10.13,17.9,40.4,,,,
12.31,251080,4550185,3349.14,10.13,17.9,35.2,,,,
12.23,251080,4550190,3349.14,13.13,17.9,35.2,,,,
12.18,251080,4550195,3349.60,9.26,17.9,35.2,,,,
12.12,251080,4550200,3349.91,5.66,17.9,35.2,,,,
12.07,251080,4550205,3349.91,10.28,17.9,35.2,,,,
12.02,251080,4550210,3349.91,10.13,17.9,35.2,,,,
11.98,251080,4550215,3349.91,10.87,17.9,35.2,,,,
11.96,251080,4550220,3349.91,10.81,17.9,35.2,,,,
11.93,251080,4550225,3349.91,11.28,17.9,35.2,,,,
11.92,251080,4550230,3349.91,11.51,17.9,35.2,,,,
11.91,251080,4550235,3349.91,12.25,17.9,35.2,,,,
11.92,251080,4550240,3349.91,10.75,18.2,35.2,,,,
11.94,251080,4550245,3349.91,10.27,23.6,35.2,,,,
11.95,251080,4550250,3349.91,10.50,25.4,35.2,,,,
11.98,251080,4550255,3349.91,10.13,25.4,35.2,,,,
12.01,251080,4550260,3349.91,10.38,25.4,35.2,,,,
12.05,251080,4550265,3349.91,10.45,25.4,35.2,,,,
12.09,251080,4550270,3349.91,11.48,25.4,35.2,,,,
12.13,251080,4550275,3349.91,11.63,25.4,35.2,,,,
12.18,251080,4550280,3349.91,11.20,29.3,35.2,,,,
12.22,251080,4550285,3349.91,11.28,31.7,35.2,,,,
12.27,251080,4550290,3349.91,10.25,31.7,35.2,,,,
12.30,251080,4550295,3349.91,11.43,31.7,37.8,,,,
12.35,251080,4550300,3349.91,10.67,31.7,44.8,,,,
12.38,251080,4550305,3349.91,10.13,31.7,44.8,,,,
12.41,251080,4550310,3349.91,11.22,31.7,44.8,,,,
12.44,251080,4550315,3349.91,10.13,31.7,44.8,,,,
12.46,251080,4550320,3349.91,11.03,31.7,44.8,,,,
12.49,251080,4550325,3349.91,11.53,31.7,44.8,,,,
12.50,251080,4550330,3350.27,6.75,31.7,40.8,,,,
12.52,251080,4550335,3350.77,5.02,31.7,35.2,,,,
12.53,251080,4550340,3350.77,5.69,31.7,35.2,,,,
12.54,251080,4550345,3350.77,6.67,31.7,35.2,,,,
12.55,251080,4550350,3350.77,10.51,25.4,35.2,,,,
12.55,251080,4550355,3350.77,11.22,25.4,35.2,,,,
12.56,251080,4550360,3350.77,10.92,25.4,35.2,,,,
12.57,251080,4550365,3351.47,5.99,25.4,35.2,,,,
12.58,251080,4550370,3351.48,8.42,25.4,35.2,,,,
13.04,251085,4550130,3348.29,10.31,18.3,34.6,,,,
12.98,251085,4550135,3348.29,11.01,24.8,43.9,,,,
12.90,251085,4550140,3348.29,10.27,24.8,48.1,,,,
12.83,251085,4550145,3348.29,10.13,24.8,48.1,,,,
12.75,251085,4550150,3348.29,10.27,24.8,48.1,,,,
12.67,251085,4550155,3348.29,10.80,24.8,48.1,,,,
12.59,251085,4550160,3348.29,12.36,24.8,48.1,,,,
12.51,251085,4550165,3348.29,13.35,24.8,48.1,,,,
12.42,251085,4550170,3348.76,8.93,17.9,48.1,,,,
12.34,251085,4550175,3349.14,9.00,17.9,47.8,,,,
12.27,251085,4550180,3349.14,12.23,17.9,35.2,,,,
12.19,251085,4550185,3349.14,11.88,17.9,35.2,,,,
12.12,251085,4550190,3349.14,12.48,17.9,35.2,,,,
12.05,251085,4550195,3349.91,5.09,17.9,35.2,,,,
11.98,251085,4550200,3349.91,9.95,17.9,35.2,,,,
11.93,251085,4550205,3349.91,10.33,17.9,35.2,,,,
11.88,251085,4550210,3349.91,10.94,17.9,35.2,,,,
11.83,251085,4550215,3349.91,10.13,17.9,35.2,,,,
11.80,251085,4550220,3349.91,10.89,17.9,32.3,,,,
11.78,251085,4550225,3349.91,10.13,17.9,26.9,,,,
11.77,251085,4550230,3349.91,11.43,17.9,26.9,,,,
11.76,251085,4550235,3349.91,11.25,17.9,32.8,,,,
11.77,251085,4550240,3349.91,11.48,17.9,35.2,,,,
11.79,251085,4550245,3349.91,10.37,24.0,35.2,,,,
11.81,251085,4550250,3349.91,10.24,25.4,35.2,,,,
11.85,251085,4550255,3349.91,10.49,25.4,35.2,,,,
11.88,251085,4550260,3349.91,10.94,25.4,35.2,,,,
11.93,251085,4550265,3349.91,10.55,25.4,35.2,,,,
11.97,251085,4550270,3349.91,10.13,25.4,35.2,,,,
12.03,251085,4550275,3349.91,11.26,25.4,35.2,,,,
12.08,251085,4550280,3349.91,12.87,25.4,35.2,,,,
12.13,251085,4550285,3349.91,10.54,31.7,35.2,,,,
12.18,251085,4550290,3349.91,11.85,31.7,35.2,,,,
12.22,251085,4550295,3349.91,10.13,31.7,35.2,,,,
12.27,251085,4550300,3349.91,10.77,31.7,43.6,,,,
12.31,251085,4550305,3349.91,10.31,31.7,44.8,,,,
12.35,251085,4550310,3349.91,10.43,31.7,44.8,,,,
12.37,251085,4550315,3349.91,10.41,31.7,44.8,,,,
12.40,251085,4550320,3349.91,10.33,31.7,44.8,,,,
12.43,251085,4550325,3349.91,10.48,31.7,44.8,,,,
12.44,251085,4550330,3349.91,11.22,31.7,44.8,,,,
12.46,251085,4550335,3349.95,9.48,31.7,35.2,,,,
12.47,251085,4550340,3350.23,7.48,31.7,35.2,,,,
12.48,251085,4550345,3350.77,5.53,31.7,35.2,,,,
12.48,251085,4550350,3350.77,5.33,29.3,35.2,,,,
12.48,251085,4550355,3350.77,5.90,25.8,35.2,,,,
12.49,251085,4550360,3350.77,10.95,25.4,35.2,,,,
12.49,251085,4550365,3351.48,5.17,25.4,35.2,,,,
12.51,251085,4550370,3351.48,9.84,25.4,35.2,,,,
12.52,251085,4550375,3351.48,10.13,25.4,35.2,,,,
12.54,251085,4550380,3351.48,10.13,25.4,35.2,,,,
13.24,251090,4550115,3347.28,10.67,18.3,22.2,,,,
13.18,251090,4550120,3347.37,7.88,18.3,34.6,,,,
13.11,251090,4550125,3348.29,5.17,18.3,34.6,,,,
