YEAR,WINNER,NATN,DIST,SPEED
1903,MAURICE GARIN,(F),1515,15.71
1904,HENRI CORNET,(F),1484,15.09
1905,LOUIS TROUSSELIER,(F),1849,16.95
1906,RENE POTTIER,(F),2881,15.07
1907,LUCIEN PETIT-BRETON,(F),2764,17.86
1908,LUCIEN PETIT-BRETON,(F),2788,17.41
1909,FRANCOIS FABER,(LUX),2800,17.81
1910,OCTAVE LAPIZE,(F),2780,18.15
1911,GUSTAVE GARRIGOU,(F),3321,16.96
1912,ODILE DEFRAYE,(B),3305,17.33
1913,PHILLIPE THYS,(B),3347,17.17
1914,PHILLIPE THYS,(B),3359,16.95
1927,NICOLAS FRANTZ,(LUX),3306,16.68
1928,NICOLAS FRANTZ,(LUX),3341,17.29
1929,MAURICE DEWAELE,(B),3385,17.6
1930,ANDRE LEDUCQ,(F),2994,17.37
1931,ANTONIN MAGNE,(F),3166,17.87
1932,ANDRE LEDUCQ,(F),2809,18.16
1933,GEORGES SPEICHER,(F),2731,18.45
1934,ANTONIN MAGNE,(F),2711,18.31
1935,ROMAIN MAES,(B),2695,19.03
1936,1936 SYLVER MAES,(B),2760,19.31
1937,1937 ROGER LAPEBIE,(F),2743,19.72
1938,GINO BARTALI,(IT),2817,19.86
1939,Sylvere Maes,(BE),2625,19.88
1947,JEAN ROBIC,(F),2883,19.57
1948,GINO BARTALI,(IT),3058,20.75
1949,FAUSTO COPPI,(IT),2991,19.96
1950,FERDI KUBLER,(SW),2983,20.37
1951,HUGO KOBLET,(SW),2919,20.49
1952,FAUSTO COPPI,(IT),2987,19.64
1953,LOUISON BOBET,(F),2783,21.51
1954,LOUISON BOBET,(F),3017,21.52
1955,LOUISON BOBET,(F),2855,21.27
1956,ROGER WALKOWIAK,(F),2814,21.44
1957,JACQUES ANQUETIL,(F),2912,21.44
1958,1958 CHARLY GAUL,(F),2684,22.93
1959,FEDERICO BAHAMONTES,(SP),2711,21.9
1960,GASTONE NENCINI,(IT),2593,23.12
1961,JACQUES ANQUETIL,(F),2852,22.54
1962,JACQUES ANQUETIL,(F),2657,23.18
1963,JACQUES ANQUETIL,(F),2573,22.66
1964,JACQUES ANQUETIL,(F),2799,22.01
1965,FELICE GIMONDI,(IT),2595,22.29
1966,LUCIEN AIMAR,(F),2674,22.74
1967,ROGER PINGEON,(F),2970,21.6
1968,JAN JANSSEN,(H),2899,21.68
1969,EDDY MERCKX,(B),2554,21.93
1970, EDDY MERCKX,(B),2709,22.67
1971, EDDY MERCKX,(B),2274,22.95
1972, EDDY MERCKX,(B),2392,22.03
1973,LUIS OCANA,(SP),2572,21.01
1974,EDDY MERCKX,(B),2575,22.16
1975,BERNARD THEVENET,(F),2488,21.71
1976,LUCIEN VAN IMPE,(B),2497,21.37
1977,BERNARD THEVENET,(F),2543,21.99
1978,BERNARD HINAULT,(F),2425,22.39
1979,BERNARD HINAULT,(F),2330,22.59
1980,JOOP ZOETEMELK,(H),2436,22.28
1981,BERNARD HINAULT,(F),2325,24.14
1982,BERNARD HINAULT,(F),2189,23.76
1983,LAURENT FIGNON,(F),2230,21.21
1984,LAURENT FIGNON,(F),2498,21.69
1985,BERNARD HINAULT,(F),2486,21.92
1986,GREG LEMOND,(US),2486,22.48
1987,STEPHEN ROCHE,(IR),2548,22.07
1988,PEDRO DELGADO,(SP),1988,23.54
1989,GREG LEMOND,(US),2041,23.29
1990,GREG LEMOND,(US),2115,24
1991,Miguel Indurain,(SP),2432,24.08
1992,Miguel Indurain,(SP),2470,24.55
1993,Miguel Indurain,(SP),2308,24.05
1994,Miguel Indurain,(SP),2472,23.85
1995,Miguel Indurain,(SP),2259,24.35
1996,Bjarne Riis,(D),2339,24.38
1997,Jan Ullrich,(G),2451,24.38
1998,Marco Pantani,(IT),2408,24.84
1999,Lance Armstrong,(US),2291,25.03
2000,Lance Armstrong,(US),2275,24.58
2001,Lance Armstrong,(US),2151,24.9
2002,Lance Armstrong,(US),2037,24.78
2003,Lance Armstrong,(US),2129,24.45
2004,Lance Armstrong,(US),2107,25.2
2005,Lance Armstrong,(US),2241,25.88
2006,Oscar Pereiro,(SP),2272,25.34
2007,Alberto Contador,(SP),2204,24.22
2008,Carlos Sastre,(SP),2212,25.17
2009,Alberto Contador,(SP),2150,25.05
2010,Andy Schleck,(LU),2263,24.6
2011,Cadel Evans,(ATL),2131,24.72
2012,Bradley Wiggins,(UK),2167,24.75
